index	arabish	class	words	tokens	pos	lem
5636	blays	arabizi	بلايص	بلايص	NOUN	بلاصة
5637	.	arabizi	.	.	PUNC	punc
5638	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5639	hajz	arabizi	حجز	حجز	CV2S-CV	حجز
5640	lesseb3a	arabizi	للسبعة	ل+ال+سبعة	PREP+DET+NOUN_NUM	سبعة
5641	mta3	arabizi	متاع	متاع	PART	متاع
5642	esbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
5643	besm	arabizi	باسم	ب+اسم	PREP+NOUN	باسم
5644	mano	arabizi	مانو	مانو	NOUN_PROP	مانو
5645	.	arabizi	.	.	PUNC	punc
5646	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5647	chniya	arabizi	شنية	شنية	INTERROG_ADV	شنوّة
5648	a5er	arabizi	آخر	اخر	ADJ	آخر
5649	video	arabizi	فيديو	فيديو	NOUN	فيديو
5650	l3ab	arabizi	لعب	لعب	NOUN	لعب
5651	el	arabizi	ال	ال	DET	ال
5652	tofla	arabizi	طفلة	طفلة	NOUN-NSUFF_FEM_SG	طفل
5653	mrah9a	arabizi	مراهقة	مراهقة	ADJ-NSUFF_FEM_SG	مراهق
5654	3morha	arabizi	عمرها	عمر+ها	NOUN+POSS_PRON_3FS	عمر
5655	5omstechen	arabizi	خمسطاش	خمسطاش	NOUN_NUM	خمسطاش
5656	sné	arabizi	سنة	سنة	NOUN-NSUFF_FEM_SG	سنة
5657	?	arabizi	؟	؟	PUNC	punc
5658	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5659	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5660	nemchi	arabizi	نمشي	نمشي	IV1S-IV	مشى
5661	lwoul	arabizi	لاول	ل+اول	PREP+NOUN_PROP	اول
5662	strit	arabizi	ستريت	ستريت	NOUN_PROP	سرريت
5663	.	arabizi	.	.	PUNC	punc
5664	Kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش
5665	Ya5i	arabizi	ياخي	يا+اخ+ي	VOC_PART+NOUN+POSS_PRON_1S	ياخي
5666	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
5667	nemchilou	arabizi	نمشي له	نمشي+ل+ه	IV1S-IV+[PREP+PRON_3MS]IVSUFF_IO:3MS	مشى
5668	?	arabizi	؟	؟	PUNC	punc
5669	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5670	wa9tech	arabizi	وقتاش	وقتاش	INTERROG_PRON	وقتاش
5671	nit9ablou	arabizi	نتقابلوا	نتقابلوا	IV1P-IV-IVSUFF_SUBJ:P	تقابل
5672	?	arabizi	؟	؟	PUNC	punc
5673	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5674	Bech	arabizi	باش	باش	FUT_PART	باش
5675	njib	arabizi	نجيب	نجيب	IV1S-IV	جاب
5676	wehed	arabizi	واحد	واحد	[NOUN_NUM]PRON_3MS	واحد
5677	tawa	arabizi	توّا	توّا	ADV	توّا
5678	tawa	arabizi	توّا	توّا	ADV	توّا
5679	.	arabizi	.	.	PUNC	punc
5680	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5681	chniya	arabizi	شنية	شنية	INTERROG_ADV	شنوّة
5682	to3ma	arabizi	طعمة	طعمة	NOUN-NSUFF_FEM_SG	طعمة
5683	h	arabizi	ها	ها	DEM_PRON	ها
5684	elblé	arabizi	البلا	ال+بلا	DET+NOUN	بلا
5685	?	arabizi	؟	؟	PUNC	punc
5686	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5687	mnin	arabizi	منين	من+وين	PREP+INTERROG_PRON	وين
5688	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
5689	nechri	arabizi	نشري	نشري	IV1S-IV	شرى
5690	tawla	arabizi	طاولة	طاولة	NOUN-NSUFF_FEM_SG	طاولة
5691	9mech	arabizi	قماش	قماش	NOUN	قماش
5692	?	arabizi	؟	؟	PUNC	punc
5693	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5694	behi	arabizi	باهي	باهي	ADV	باهي
5695	.	arabizi	.	.	PUNC	punc
5696	tnajjem	arabizi	تنجّم	تنجّم	IV2S-IV	نجّم
5697	tiktib	arabizi	تكتب	تكتب	IV2S-IV	كتب
5698	ledrisa	arabizi	الادريسة	ال+ادريسة	DET+NOUN_PROP-NSUFF_FEM_SG	ادريسة
5699	marra	arabizi	مرّة	مرّة	NOUN-NSUFF_FEM_SG	مرّة
5700	ou5ra	arabizi	اخرى	اخرى	ADJ	آخر
5701	fi	arabizi	في	في	PREP	في
5702	jeweb	arabizi	جواب	جواب	NOUN	جواب
5703	?	arabizi	؟	؟	PUNC	punc
5704	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5705	tnajjem	arabizi	تنجّم	تنجّم	IV2S-IV	نجّم
5706	tba3thli	arabizi	تبعث لي	تبعث+ل+ي	IV2S-IV+IVSUFF_DO:3FS+[PREP+PRON_1S]IVSUFF_IO:1S	بعث
5707	7ammal	arabizi	حمّال	حمّال	NOUN	حمّال
5708	m3a	arabizi	مع	مع	PREP	مع
5709	essetta	arabizi	الستّة	ال+ستّة	DET+NOUN_NUM	ستّة
5710	mta3	arabizi	متاع	متاع	PART	متاع
5711	esbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
5712	,	arabizi	,	,	PUNC	punc
5713	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5714	?	arabizi	؟	؟	PUNC	punc
5715	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5716	men	arabizi	من	من	PREP	من
5717	lefdhal	arabizi	الافضل	ال+افضل	DET+ADJ_COMP	فضيل
5718	trighel	arabizi	تريغل	تريغل	IV2S-IV	ريغل
5719	elmreya	arabizi	المراية	ال+مراية	DET+NOUN	مراية
5720	li	arabizi	اللي	اللي	REL_PRON	اللي
5721	tra	arabizi	ترى	ترى	IV2S-IV	را
5722	beha	arabizi	بها	ب+ها	PREP+PRON_3FS	هو
5723	men	arabizi	من	من	PREP	من
5724	tali	arabizi	تالي	تالي	ADV	تالي
5725	.	arabizi	.	.	PUNC	punc
5726	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5727	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5728	aghssel	arabizi	اغسل	اغسل	CV2S-CV	غسل
5729	lkabot	arabizi	الكبوط	ال+كبوط	DET+NOUN	كبوط
5730	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
5731	.	arabizi	.	.	PUNC	punc
5732	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5733	wa9tech	arabizi	وقتاش	وقتاش	INTERROG_PRON	وقتاش
5734	yelzemni	arabizi	يلزمني	يلزم+ني	IV3MS-IV+IVSUFF_IO:1S	لزم
5735	nekoun	arabizi	نكون	نكون	IV1S-IV	كان
5736	fi	arabizi	في	في	PREP	في
5737	lm7atta	arabizi	المحطّة	ال+محطّة	DET+NOUN-NSUFF_FEM_SG	محطّة
5738	?	arabizi	؟	؟	PUNC	punc
5739	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5740	famma	arabizi	فمّة	فمّة	PSEUDO_VERB	فمّة
5741	mdhifa	arabizi	مضيفة	مضيفة	NOUN	مضيف
5742	ta7ki	arabizi	تحكي	تحكي	IV3FS-IV	حكى
5743	lyabanya	arabizi	اليابانية	ال+يابانية	DET+NOUN-NSUFF_FEM_SG	يابانية
5744	?	arabizi	؟	؟	PUNC	punc
5745	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5746	mel3achra	arabizi	مالعشرة	م+ال+عشرة	PREP+DET+NOUN_NUM	عشرة
5747	lelathnach	arabizi	للاثناش	ل+ال+اثناش	PREP+DET+NOUN_NUM	اثناش
5748	aychek	arabizi	عيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5749	.	arabizi	.	.	PUNC	punc
5750	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5751	3andi	arabizi	عندي	عند+ي	PREP+PRON_1S	عند
5752	wji3a	arabizi	وجيعة	وجيعة	NOUN-NSUFF_FEM_SG	وجع
5753	fi	arabizi	في	في	PREP	في
5754	3ini	arabizi	عيني	عين+ي	NOUN+POSS_PRON_1S	عين
5755	limin	arabizi	اليمين	ال+يمين	DET+NOUN	يمين
5756	.	arabizi	.	.	PUNC	punc
5757	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5758	ijri	arabizi	اجري	اجري	CV2S-CV	جرى
5759	.	arabizi	.	.	PUNC	punc
5760	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5761	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5762	toffe7	arabizi	تفّاح	تفّاح	NOUN	تفّاح
5763	,	arabizi	,	,	PUNC	punc
5764	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5765	.	arabizi	.	.	PUNC	punc
5766	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5767	sama7ni	arabizi	سماحني	سماح+ني	CV2S-CV+CVSUFF_DO:1S	سماح
5768	.	arabizi	.	.	PUNC	punc
5769	famma	arabizi	فمّة	فمّة	PSEUDO_VERB	فمّة
5770	maktba	arabizi	مكتبة	مكتبة	NOUN-NSUFF_FEM_SG	مكتبة
5771	9riba	arabizi	قريبة	قريبة	ADJ-NSUFF_FEM_SG	قريب
5772	?	arabizi	؟	؟	PUNC	punc
5773	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5774	ab9a	arabizi	ابقى	ابقى	CV2S-CV	بقى
5775	emchi	arabizi	امشي	امشي	CV2S-CV	مشى
5776	m3a	arabizi	مع	مع	PREP	مع
5777	kaoun	arabizi	كوان	كوان	NOUN	كوان
5778	hathéka	arabizi	هاذاكا	هذاك	DEM_ADJ_3MS	هاذا
5779	,	arabizi	,	,	PUNC	punc
5780	ba3ed	arabizi	بعد	بعد	ADV	بعد
5781	tawa	arabizi	توّا	توّا	ADV	توّا
5782	tal9ah	arabizi	تلقاه	تلقى+ه	IV2S-IV+IVSUFF_DO:3MS	لقى
5783	3la	arabizi	على	على	PREP	على
5784	yiminek	arabizi	يمينك	يمين+ك	NOUN+POSS_PRON_2S	يمين
5785	.	arabizi	.	.	PUNC	punc
5786	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5787	kif	arabizi	كيف	كيف	ADV	كيف
5788	kif	arabizi	كيف	كيف	ADV	كيف
5789	7atta	arabizi	حتّى	حتّى	ADV	حتّى
5790	Ena	arabizi	انا	انا	PRON_1S	هو
5791	,	arabizi	,	,	PUNC	punc
5792	aychek	arabizi	عيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5793	.	arabizi	.	.	PUNC	punc
5794	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5795	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5796	nbadel	arabizi	نبدّل	نبدّل	IV1S-IV	بدّل
5797	elbit	arabizi	البيت	ال+بيت	DET+NOUN	بيت
5798	to6ell	arabizi	تطلّ	تطلّ	IV3FS-IV	طلّ
5799	3al	arabizi	عال	ع+ال	PREP+DET	على
5800	lmo7it	arabizi	المحيط	ال+محيط	DET+NOUN	محيط
5801	.	arabizi	.	.	PUNC	punc
5802	famma	arabizi	فمّة	فمّة	PSEUDO_VERB	فمّة
5803	zyeda	arabizi	زيادة	زيادة	NOUN-NSUFF_FEM_SG	زيادة
5804	?	arabizi	؟	؟	PUNC	punc
5805	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5806	Ti	arabizi	تي	تي	INTERJ	تي
5807	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5808	netkayif	arabizi	نتكيف	نتكيف	IV1S-IV	تكيّف
5809	Ena	arabizi	انا	انا	PRON_1S	هو
5810	.	arabizi	.	.	PUNC	punc
5811	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5812	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5813	Hdia	arabizi	هديّة	هديّة	NOUN-NSUFF_FEM_SG	هديّة
5814	mta3	arabizi	متاع	متاع	PART	متاع
5815	dhekra	arabizi	ذكرى	ذكرى	NOUN	ذكرى
5816	snewiya	arabizi	سنوية	سنوية	ADJ-NSUFF_FEM_SG	سنوي
5817	.	arabizi	.	.	PUNC	punc
5818	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5819	Bech	arabizi	باش	باش	FUT_PART	باش
5820	narJa3	arabizi	نرجع	نرجع	IV1S-IV	رجع
5821	lilyeben	arabizi	لليابان	ل+ال+يابان	PREP+DET+NOUN_PROP	يابان
5822	Lethnin	arabizi	الاثنين	ال+اثنين	DET+NOUN	اثنين
5823	ejjaya	arabizi	الجاية	ال+جاية	DET+ADJ-NSUFF_FEM_SG	جاي
5824	.	arabizi	.	.	PUNC	punc
5825	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5826	9addech	arabizi	قدّاش	قدّاش	INTERROG_ADV	قدّاش
5827	men	arabizi	من	من	PREP	من
5828	houni	arabizi	هوني	هوني	ADV	هنا
5829	?	arabizi	؟	؟	PUNC	punc
5830	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5831	ah	arabizi	اه	اه	INTERJ	اه
5832	,	arabizi	,	,	PUNC	punc
5833	Ahna	arabizi	احنا	احنا	PRON_1P	هو
5834	jayin	arabizi	جايين	جايين	ADJ-NSUFF_MASC_PL	جاي
5835	alih	arabizi	عليه	علي+ه	PREP+PRON_3MS	هو
5836	,	arabizi	,	,	PUNC	punc
5837	jayin	arabizi	جايين	جايين	ADJ-NSUFF_MASC_PL	جاي
5838	alih	arabizi	عليه	علي+ه	PREP+PRON_3MS	هو
5839	.	arabizi	.	.	PUNC	punc
5840	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5841	newi	arabizi	ناوي	ناوي	ADJ	ناوي
5842	nta3llem	arabizi	نتعلّم	نتعلّم	IV1S-IV	تعلّم
5843	nal3eb	arabizi	نلعب	نلعب	IV1S-IV	لعب
5844	lghoulf	arabizi	الغولف	ال+غولف	DET+NOUN	غولف
5845	.	arabizi	.	.	PUNC	punc
5846	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5847	ah	arabizi	اه	اه	INTERJ	اه
5848	,	arabizi	,	,	PUNC	punc
5849	famma	arabizi	فمّة	فمّة	PSEUDO_VERB	فمّة
5850	barcha	arabizi	برشا	برشا	ADV	برشا
5851	hajet	arabizi	حاجات	حاجات	NOUN-NSUFF_FEM_PL	حاجة
5852	tnajjem	arabizi	تنجّم	تنجّم	IV2S-IV	نجّم
5853	tchoufou	arabizi	تشوفه	تشوف+ه	IV2S-IV+IVSUFF_DO:3MS	شاف
5854	fi	arabizi	في	في	PREP	في
5855	riif	arabizi	ريف	ريف	NOUN	ريف
5856	ghrinouich	arabizi	غرينويش	غرينويش	NOUN_PROP	غرينويش
5857	.	arabizi	.	.	PUNC	punc
5858	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5859	ma	arabizi	ما	ما	NEG_PART	ما
5860	najjemch	arabizi	نجّمش	انجّم+ش	IV1S-IV+NEG_PART	نجّم
5861	nestoui	arabizi	نستوي	نستوي	IV1S-IV	نستوى
5862	ettasouira	arabizi	التصويرة	ال+تصويرة	DET+NOUN-NSUFF_FEM_SG	تصويرة
5863	.	arabizi	.	.	PUNC	punc
5864	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5865	sbe7	arabizi	صباح	صباح	[NOUN]INTERJ	صباح
5866	5ir	arabizi	الخير	ال+خير	[DET+NOUN]INTERJ	خير
5867	.	arabizi	.	.	PUNC	punc
5868	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5869	ghadi	arabizi	غادي	غادي	ADV	غادي
5870	,	arabizi	,	,	PUNC	punc
5871	aychek	arabizi	عيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5872	.	arabizi	.	.	PUNC	punc
5873	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5874	eb9adech	arabizi	بقدّاش	ب+قدّاش	PREP+INTERROG_ADV	قدّاش
5875	timbri	arabizi	تيمبري	تيمبري	NOUN	تمبري
5876	Bech	arabizi	باش	باش	FUT_PART	باش
5877	naba3th	arabizi	نبعث	نبعث	IV1S-IV	بعث
5878	h	arabizi	ها	ها	PRON_3FS	ها
5879	jeweb	arabizi	جواب	جواب	NOUN	جواب
5880	lyeben	arabizi	ليابان	ل+يابان	PREP+NOUN_PROP	يابان
5881	?	arabizi	؟	؟	PUNC	punc
5882	?	arabizi	؟	؟	PUNC	punc
5883	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5884	Bech	arabizi	باش	باش	FUT_PART	باش
5885	ykounlena	arabizi	يكون لنا	يكون+ل+نا	IV3MS-IV+[PREP+PRON_1P]IVSUFF_IO:1P	كان
5886	eccharf	arabizi	الشرف	ال+شرف	DET+NOUN	لار
5887	annou	arabizi	انّه	انّ+ه	SUB_CONJ+PRON_3MS	شرف
5888	na3mlouh	arabizi	نعملوه	نعملوا+ه	IV1P-IV-IVSUFF_SUBJ:P+IVSUFF_DO:3MS	عمل
5889	.	arabizi	.	.	PUNC	punc
5890	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5891	m3ak	arabizi	معك	مع+ك	PREP+PRON_2S	مع
5892	Si	arabizi	سي	سي	VOC_PART	سيد
5893	tkahechi	arabizi	تكاهاشي	تكاهاشي	NOUN_PROP	تكاهاشي
5894	fel	arabizi	فال	في+ال	PREP+DET	في
5895	byt	arabizi	بيت	بيت	NOUN	بيت
5896	noumrou	arabizi	نومرو	نومرو	NOUN	نومرو
5897	5amsa	arabizi	خمسة	خمسة	NOUN_NUM	خمسة
5898	tes3a	arabizi	تسعة	تسعة	NOUN_NUM	تسعة
5899	warb3in	arabizi	واربعين	و+اربعين	CONJ+NOUN_NUM	اربعين
5900	.	arabizi	.	.	PUNC	punc
5901	tnajjem	arabizi	تنجّم	تنجّم	IV2S-IV	نجّم
5902	thezli	arabizi	تهزّ لي	تهزّ+ل+ي	IV2S-IV+[PREP+PRON_1S]IVSUFF_IO:1S	هزّ
5903	arb3a	arabizi	اربعة	اربعة	NOUN_NUM	اربعة
5904	dbabezz	arabizi	دبابز	دبابز	NOUN	دبّوزة
5905	bira	arabizi	بيرة	بيرة	NOUN-NSUFF_FEM_SG	بيرة
5906	bodoayzou	arabizi	بودوايزو	بودوايزو	NOUN_PROP	بودوايزو
5907	,	arabizi	,	,	PUNC	punc
5908	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
5909	?	arabizi	؟	؟	PUNC	punc
5910	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5911	3andek	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
5912	mtawyit	arabizi	مطويات	مطويات	NOUN-NSUFF_FEM_PL	مطوية
5913	mta3	arabizi	متاع	متاع	PART	متاع
5914	tsamim	arabizi	تصاميم	تصاميم	NOUN	تصاميم
5915	bahya	arabizi	باهية	باهية	ADJ-NSUFF_FEM_SG	باهي
5916	?	arabizi	؟	؟	PUNC	punc
5917	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5918	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5919	yab9a	arabizi	يبقى	يبقى	IV3MS-IV	بقى
5920	soumo	arabizi	سومه	سوم+ه	NOUN+POSS_PRON_3MS	سوم
5921	ta7t	arabizi	تحت	تحت	PREP	تحت
5922	maya	arabizi	ميا	مية	NOUN_NUM	مية
5923	wel	arabizi	و	و	CONJ	و
5924	thamenin	arabizi	ثمانين	ثمانين	NOUN_NUM	ثمانين
5925	doular	arabizi	دولار	دولار	NOUN	دولار
5926	.	arabizi	.	.	PUNC	punc
5927	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5928	behi	arabizi	باهي	باهي	ADV	باهي
5929	.	arabizi	.	.	PUNC	punc
5930	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5931	3andi	arabizi	عندي	عند+ي	PREP+PRON_1S	عند
5932	ch3our	arabizi	شعور	شعور	NOUN	شعور
5933	benni	arabizi	بانّي	ب+انّ+ي	PREP+SUB_CONJ+PRON_1S	هو
5934	mla7e9	arabizi	ملاحق	ملاحق	ADJ	ملاحق
5935	.	arabizi	.	.	PUNC	punc
5936	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
5937	9lil	arabizi	قليل	قليل	ADJ	قليل
5938	barcha	arabizi	برشا	برشا	ADV	برشا
5939	annou	arabizi	انّه	انّ+ه	SUB_CONJ+PRON_3MS	هو
5940	tchouf	arabizi	تشوف	تشوف	IV2S-IV	شاف
5941	yabani	arabizi	ياباني	ياباني	ADJ	ياباني
5942	?	arabizi	؟	؟	PUNC	punc
5943	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5944	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
5945	nhezz	arabizi	نهزّ	نهزّ	IV1S-IV	هزّ
5946	mte3i	arabizi	متاعي	متاع+ي	PART+POSS_PRON_1S	متاع
5947	.	arabizi	.	.	PUNC	punc
5948	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5949	just	arabizi	جيست	جيست	ADV	جيست
5950	Bech	arabizi	باش	باش	FUT_PART	باش
5951	nchouf	arabizi	نشوف	نشوف	IV1S-IV	شاف
5952	fel	arabizi	فال	في+ال	PREP+DET	في
5953	ajinda	arabizi	اجندة	اجندة	NOUN-NSUFF_FEM_SG	اجندة
5954	.	arabizi	.	.	PUNC	punc
5955	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5956	karhebti	arabizi	كرهبتي	كرهبة+ي	NOUN-NSUFF_FEM_SG+POSS_PRON_1S	كرهبة
5957	techen9lt	arabizi	تشنقلت	تشنقلت	PV-PVSUFF_SUBJ:3FS	شنقل
5958	.	arabizi	.	.	PUNC	punc
5959	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5960	Ena	arabizi	انا	انا	PRON_1S	هو
5961	jit	arabizi	جيت	جيت	PV-PVSUFF_SUBJ:1S	جا
5962	men	arabizi	من	من	PREP	من
5963	amrika	arabizi	امريكا	امريكا	NOUN_PROP	امريكا
5964	.	arabizi	.	.	PUNC	punc
5965	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5966	Ena	arabizi	انا	انا	PRON_1S	هو
5967	houni	arabizi	هوني	هوني	ADV	هنا
5968	7atta	arabizi	حتّى	حتّى	PREP	حتّى
5969	linnhar	arabizi	لنهار	ل+نهار	PREP+NOUN	نهار
5970	tes3a	arabizi	تسعة	تسعة	NOUN_NUM	تسعة
5971	.	arabizi	.	.	PUNC	punc
5972	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5973	3la	arabizi	على	على	PREP	على
5974	Kol	arabizi	كلّ	كلّ	NOUN_QUANT	كلّ
5975	loun	arabizi	لون	لون	NOUN	لون
5976	ma3ajebench	arabizi	ما عجبنيش	ما+عجب+ني+ش	NEG_PART+PV-PVSUFF_SUBJ:3MS+PRON_1S+NEG_PART	عجب
5977	.	arabizi	.	.	PUNC	punc
5978	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
5979	narJa3	arabizi	نرجع	نرجع	IV1S-IV	رجع
5980	?	arabizi	؟	؟	PUNC	punc
5981	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5982	ah	arabizi	اه	اه	INTERJ	اه
5983	,	arabizi	,	,	PUNC	punc
5984	haya	arabizi	هيّا	هيّا	INTERJ	هيّا
5985	.	arabizi	.	.	PUNC	punc
5986	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5987	aman	arabizi	امان	امان	INTERJ	امان
5988	9alli	arabizi	قل لي	قل+ل+ي	CV2S-CV+[PREP+PRON_1S]CVSUFF_IO:1S	قال
5989	Fn	arabizi	فين	فين	INTERROG_ADV	فين
5990	a9reb	arabizi	اقرب	اقرب	ADJ_COMP	قريب
5991	saydaliya	arabizi	صديدلية	صديدلية	NOUN-NSUFF_FEM_SG	صديدلية
5992	.	arabizi	.	.	PUNC	punc
5993	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
5994	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
5995	ne5ou	arabizi	ناخو	ناخو	IV1S-IV	اخذ
5996	jedwal	arabizi	جدول	جدول	NOUN	جدول
5997	aw9at	arabizi	اوقات	اوقات	NOUN-NSUFF_FEM_PL	وقت
5998	,	arabizi	,	,	PUNC	punc
5999	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
6000	?	arabizi	؟	؟	PUNC	punc
6001	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
6002	ellymouzine	arabizi	الليموزين	ال+ليموزين	DET+NOUN	ليموزين
6003	Bech	arabizi	باش	باش	FUT_PART	باش
6004	te9ef	arabizi	تاقف	تاقف	IV3FS-IV	وقف
6005	fi	arabizi	في	في	PREP	في
6006	lbeb	arabizi	الباب	ال+باب	DET+NOUN	باب
6007	li	arabizi	اللي	اللي	REL_PRON	اللي
6008	3la	arabizi	على	على	PREP	على
6009	elyassar	arabizi	اليسار	ال+يسار	PREP+NOUN	يسار
6010	lewel	arabizi	الاول	ال+اول	PREP+NOUN_NUM	اول
6011	.	arabizi	.	.	PUNC	punc
6012	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
6013	chnowa	arabizi	شنوة	شنوة	INTERROG_PRON	شنوّة
6014	essous	arabizi	الصوص	ال+صوص	DET+NOUN	صوص
6015	?	arabizi	؟	؟	PUNC	punc
6016	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
6017	ken	arabizi	كان	كان	SUB_CONJ	كان
6018	3andi	arabizi	عندي	عند+ي	PREP+PRON_1S	عند
6019	basbouri	arabizi	باسبوري	باسبور+ي	NOUN+POSS_PRON_1S	باسبور
6020	welkart	arabizi	والكارت	و+ال+كارت	CONJ+DET+NOUN	كارت
6021	kridi	arabizi	كريدي	كريدي	NOUN	كريدي
6022	mte3i	arabizi	متاعي	متاع+ي	PART+POSS_PRON_1S	متاع
6023	fi	arabizi	في	في	PREP	في
6024	saki	arabizi	ساكي	ساك+ي	NOUN+POSS_PRON_1S	ساك
6025	.	arabizi	.	.	PUNC	punc
6026	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
6027	9addech	arabizi	قدّاش	قدّاش	INTERROG_ADV	قدّاش
6028	some	arabizi	سوم	سوم	NOUN	سوم
6029	koursa	arabizi	كورسة	كورسة	NOUN-NSUFF_FEM_SG	كورسة
6030	bettaksi	arabizi	بالتاكسي	ب+ال+تاكسي	PREP+DET+NOUN	تاكسي
6031	bin	arabizi	بين	بين	PREP	بين
6032	loutil	arabizi	الوتيل	ال+وتيل	DET+NOUN	وتيل
6033	hedha	arabizi	هاذا	هاذا	DEM_ADJ_3MS	هاذا
6034	wal9ar	arabizi	والقار	و+ال+قار	CONJ+PREP+NOUN	قار
6035	?	arabizi	؟	؟	PUNC	punc
6036	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
6037	aychek	arabizi	عيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
6038	ab3athli	arabizi	ابعث لي	ابعث+ل+ي	CV2S-CV+[PREP+PRON_1S]CVSUFF_IO:1S	بعث
6039	chkoun	arabizi	شكون	شكون	PRON_3MS	شكون
6040	Bech	arabizi	باش	باش	FUT_PART	باش
